"ВИА ""Пламя""","VIA ""Plama"""
Аркадий Аникеев,Arkadij Anikeev
Павел Осипенко,Pavel Osipenko
телевизор,televizor
Виктория,Viktoria
гимн России,gimn Rossii
Семён Слепаков,Semen Slepakov
Иван Самсонов,Ivan Samsonov
бабушка Аркадия,babuska Arkadia
Лёха,Leha
Клавдия Сапрыкина,Klavdia Saprykina
прохожий,prohozij
Марина Былинкина,Marina Bylinkina
"первый ""Виталик""","pervyj ""Vitalik"""
"второй ""Виталик""","vtoroj ""Vitalik"""
Нина Самсонова,Nina Samsonova
майор ФСБ Лавров,major FSB Lavrov
капитан ФСБ Заварзин,kapitan FSB Zavarzin
Спецназовец ФСБ,Specnazovec FSB
рабочий Глухих,rabocij Gluhih
второй рабочий,vtoroj rabocij
Николай Головомзюк,Nikolaj Golovomzuk
полковник ФСБ,polkovnik FSB
лейтенант ФСБ Соколов,lejtenant FSB Sokolov
Слава Самсонов,Slava Samsonov
Юля Самсонова,Ula Samsonova
генерал ФСБ Круглов,general FSB Kruglov
спарринг-партнёр губернатора по дзюдо,sparring-partner gubernatora po dzudo
губернатор,gubernator
охранник губернатора,ohrannik gubernatora
пиарщик губернатора,piarsik gubernatora
студентка Косотонова,studentka Kosotonova
ректор Каргаполов,rektor Kargapolov
Рингтон,Rington
полпред Третьяков,polpred Tret<U+02B9>akov
заместитель губернатора,zamestitel<U+02B9> gubernatora
вице-губернатор,vice-gubernator
сотрудник ФСИН,sotrudnik FSIN
официантка губернатора,oficiantka gubernatora
